genre,year,0
Country,1958,43
Country,1959,106
Country,1960,72
Country,1961,56
Country,1962,58
Country,1963,76
Country,1964,101
Country,1965,98
Country,1966,113
Country,1967,53
Country,1968,86
Country,1969,84
Country,1970,92
Country,1971,78
Country,1972,69
Country,1973,108
Country,1974,90
Country,1975,101
Country,1976,86
Country,1977,98
Country,1978,109
Country,1979,100
Country,1980,92
Country,1981,132
Country,1982,187
Country,1983,111
Country,1984,35
Country,1987,31
Country,1988,30
Country,1989,98
Country,1990,42
Country,1991,6
Country,1992,74
Country,1993,179
Country,1994,171
Country,1995,87
Country,1996,91
Country,1997,198
Country,1998,555
Country,1999,1061
Country,2000,1137
Country,2001,980
Country,2002,951
Country,2003,960
Country,2004,930
Country,2005,974
Country,2006,908
Country,2007,981
Country,2008,932
Country,2009,1042
Country,2010,1057
Country,2011,1144
Country,2012,1028
Country,2013,977
Country,2014,987
Country,2015,894
Country,2016,703
Country,2017,720
Country,2018,571
Country,2019,812
Country,2020,554
Country,2021,153
EDM,1958,17
EDM,1959,17
EDM,1960,36
EDM,1962,16
EDM,1963,13
EDM,1964,30
EDM,1965,23
EDM,1966,19
EDM,1967,9
EDM,1968,30
EDM,1969,84
EDM,1970,97
EDM,1971,101
EDM,1972,109
EDM,1973,68
EDM,1974,76
EDM,1975,21
EDM,1976,33
EDM,1977,87
EDM,1978,49
EDM,1979,42
EDM,1980,33
EDM,1981,23
EDM,1982,16
EDM,1983,11
EDM,1984,39
EDM,1985,9
EDM,1986,49
EDM,1987,7
EDM,1988,18
EDM,1989,21
EDM,1990,86
EDM,1991,203
EDM,1992,165
EDM,1993,66
EDM,1994,101
EDM,1995,62
EDM,1996,55
EDM,1997,49
EDM,1998,21
EDM,2000,33
EDM,2001,40
EDM,2002,42
EDM,2003,17
EDM,2004,22
EDM,2011,2
EDM,2012,16
EDM,2013,15
EDM,2014,13
EDM,2015,41
EDM,2016,5
EDM,2017,20
EDM,2021,2
Folk,1958,14
Folk,1959,52
Folk,1960,26
Folk,1961,11
Folk,1962,25
Folk,1963,91
Folk,1964,67
Folk,1965,44
Folk,1966,31
Folk,1967,10
Folk,1968,1
Folk,1969,10
Folk,1971,22
Folk,1972,9
Folk,1973,9
Folk,1974,5
Folk,1975,16
Folk,1979,6
Folk,1988,4
Folk,1989,11
Folk,1991,16
Folk,1997,9
Folk,1998,16
Jazz,1958,3
Jazz,1959,56
Jazz,1960,22
Jazz,1961,43
Jazz,1962,58
Jazz,1963,67
Jazz,1964,45
Jazz,1965,37
Jazz,1966,29
Jazz,1967,33
Jazz,1968,65
Jazz,1969,24
Jazz,1970,15
Jazz,1971,32
Jazz,1972,44
Jazz,1973,42
Jazz,1974,33
Jazz,1975,79
Jazz,1976,54
Jazz,1977,38
Jazz,1978,44
Jazz,1979,35
Jazz,1980,21
Jazz,1981,78
Jazz,1982,30
Jazz,1983,15
Jazz,1985,55
Jazz,1986,8
Jazz,1988,20
Jazz,1989,10
Jazz,1991,38
Jazz,1992,7
Jazz,1993,5
Jazz,1994,53
Jazz,1997,5
Jazz,1998,2
Jazz,2006,1
Latin,1959,15
Latin,1960,12
Latin,1976,8
